Co, Fe, Zr, is_glass
26.505,32.128,41.367,1.000
26.668,30.206,43.125,1.000
26.767,28.353,44.879,1.000
26.802,26.571,46.627,1.000
26.774,24.868,48.358,1.000
26.684,23.242,50.074,1.000
26.535,21.700,51.766,1.000
26.330,20.238,53.432,1.000
26.072,18.855,55.073,0.500
25.764,17.554,56.681,0.500
25.411,16.330,58.260,0.500
25.016,15.183,59.801,0.500
24.582,14.110,61.308,0.500
24.114,13.105,62.780,0.500
23.617,12.170,64.213,0.500
23.092,11.297,65.610,0.500
22.546,10.487,66.967,0.500
26.335,42.880,30.785,1.000
26.863,40.747,32.390,1.000
27.335,38.642,34.023,1.000
27.749,36.570,35.681,1.000
28.099,34.547,37.354,1.000
28.385,32.574,39.041,1.000
28.604,30.665,40.731,1.000
28.756,28.821,42.423,1.000
28.840,27.046,44.114,1.000
28.857,25.348,45.795,1.000
28.809,23.724,47.467,1.000
28.697,22.181,49.122,1.000
28.525,20.718,50.757,1.000
28.295,19.331,52.374,1.000
28.011,18.024,53.965,0.500
27.676,16.792,55.532,0.500
27.294,15.637,57.069,0.500
26.870,14.554,58.577,0.500
26.405,13.538,60.056,0.500
25.906,12.592,61.502,0.500
25.376,11.707,62.918,0.500
24.818,10.884,64.298,0.500
28.563,41.004,30.433,1.000
29.098,38.924,31.978,1.000
29.575,36.875,33.550,1.000
29.987,34.873,35.141,1.000
30.333,32.918,36.749,1.000
30.610,31.025,38.365,1.000
30.817,29.195,39.988,1.000
30.954,27.431,41.615,1.000
31.021,25.741,43.238,1.000
31.019,24.124,44.857,1.000
30.950,22.586,46.465,1.000
30.816,21.124,48.060,1.000
30.619,19.738,49.643,1.000
30.364,18.430,51.206,1.000
30.053,17.196,52.751,0.500
29.690,16.037,54.273,0.500
29.280,14.948,55.772,0.500
28.824,13.927,57.249,0.500
28.330,12.973,58.698,0.500
27.798,12.080,60.122,0.500
27.236,11.248,61.516,0.500
30.318,41.152,28.530,1.000
30.917,39.097,29.985,1.000
31.458,37.072,31.470,1.000
31.933,35.092,32.975,1.000
32.342,33.158,34.500,1.000
32.680,31.283,36.038,1.000
32.945,29.469,37.585,1.000
33.138,27.720,39.142,1.000
33.258,26.043,40.699,1.000
33.306,24.436,42.257,1.000
33.284,22.907,43.810,1.000
33.192,21.453,45.355,1.000
33.034,20.071,46.895,1.000
32.813,18.767,48.420,1.000
32.531,17.535,49.934,1.000
32.193,16.376,51.431,1.000
31.803,15.287,52.910,0.500
31.363,14.263,54.374,0.500
30.879,13.306,55.815,0.500
30.353,12.409,57.238,0.500
29.791,11.573,58.637,0.500
32.786,39.161,28.052,1.000
33.392,37.160,29.447,1.000
33.932,35.203,30.864,1.000
34.405,33.291,32.304,1.000
34.805,31.436,33.759,1.000
35.131,29.642,35.227,1.000
35.383,27.910,36.707,1.000
35.559,26.249,38.192,1.000
35.660,24.657,39.683,1.000
35.687,23.140,41.173,1.000
35.643,21.697,42.661,1.000
35.527,20.325,44.148,1.000
35.345,19.029,45.626,1.000
35.098,17.803,47.099,1.000
34.791,16.649,48.560,1.000
34.427,15.563,50.010,1.000
34.008,14.542,51.450,0.500
33.540,13.586,52.874,0.500
33.026,12.689,54.285,0.500
35.373,37.139,27.488,1.000
35.978,35.206,28.816,1.000
36.515,33.316,30.169,1.000
36.978,31.484,31.538,1.000
37.366,29.711,32.923,1.000
37.679,27.999,34.323,1.000
37.913,26.357,35.730,1.000
38.070,24.782,37.148,1.000
38.150,23.282,38.568,1.000
38.155,21.853,39.991,1.000
38.087,20.495,41.418,1.000
37.948,19.211,42.841,1.000
37.742,17.995,44.263,1.000
37.470,16.850,45.680,1.000
37.137,15.773,47.090,1.000
36.746,14.758,48.496,1.000
36.301,13.807,49.892,1.000
38.062,35.101,26.837,1.000
38.663,33.235,28.101,1.000
39.190,31.426,29.383,1.000
39.641,29.676,30.683,1.000
40.014,27.987,31.999,1.000
40.308,26.366,33.326,1.000
40.522,24.812,34.666,1.000
40.658,23.331,36.012,1.000
40.716,21.920,37.364,1.000
40.698,20.579,38.723,1.000
40.606,19.310,40.083,1.000
40.443,18.109,41.448,1.000
40.212,16.977,42.811,1.000
39.917,15.911,44.173,1.000
39.558,14.906,45.535,1.000
40.842,33.049,26.109,1.000
41.431,31.265,27.303,1.000
41.944,29.540,28.516,1.000
42.378,27.874,29.748,1.000
42.731,26.277,30.992,1.000
43.004,24.746,32.250,1.000
43.196,23.287,33.517,1.000
43.309,21.898,34.794,1.000
43.343,20.576,36.080,1.000
43.302,19.326,37.372,1.000
43.187,18.142,38.671,1.000
43.001,17.027,39.973,1.000
42.746,15.976,41.278,1.000
44.264,29.304,26.432,1.000
44.758,27.664,27.578,1.000
45.170,26.093,28.737,1.000
45.500,24.587,29.913,1.000
45.749,23.152,31.099,1.000
45.917,21.786,32.296,1.000
46.006,20.488,33.506,1.000
46.017,19.259,34.724,1.000
45.952,18.096,35.952,1.000
35.485,25.140,39.375,1.000
35.394,23.557,41.049,1.000
35.230,22.055,42.716,1.000
34.995,20.628,44.376,1.000
34.697,19.281,46.022,1.000
34.337,18.010,47.652,1.000
33.921,16.811,49.268,1.000
33.454,15.686,50.860,1.000
32.939,14.629,52.432,1.000
37.330,28.928,33.742,1.000
37.459,27.202,35.339,1.000
37.505,25.550,36.945,1.000
37.470,23.972,38.558,1.000
37.358,22.472,40.170,1.000
37.172,21.046,41.782,1.000
36.916,19.698,43.387,1.000
36.594,18.423,44.983,1.000
36.210,17.219,46.571,1.000
35.769,16.088,48.143,1.000
35.275,15.022,49.703,1.000
34.733,14.024,51.243,1.000
34.148,13.088,52.764,1.000
38.976,31.016,30.008,0.500
39.257,29.230,31.513,1.000
39.451,27.517,33.032,1.000
39.559,25.876,34.564,1.000
39.584,24.307,36.109,1.000
39.528,22.814,37.658,1.000
39.394,21.393,39.213,1.000
39.185,20.048,40.767,1.000
38.906,18.775,42.320,1.000
38.559,17.570,43.871,1.000
38.151,16.437,45.413,1.000
37.684,15.368,46.949,1.000
37.163,14.365,48.472,1.000
36.593,13.423,49.984,1.000
35.976,12.538,51.486,1.000
40.424,33.036,26.540,0.500
40.861,31.205,27.934,0.500
41.209,29.437,29.353,0.500
41.469,27.741,30.790,1.000
41.641,26.115,32.243,1.000
41.728,24.559,33.713,1.000
41.730,23.077,35.193,1.000
41.651,21.665,36.684,1.000
41.494,20.327,38.179,1.000
41.262,19.059,39.679,1.000
40.959,17.859,41.183,1.000
40.588,16.727,42.684,1.000
40.154,15.660,44.187,1.000
39.661,14.656,45.683,1.000
39.113,13.713,47.174,1.000
38.513,12.825,48.661,1.000
37.867,11.994,50.139,1.000
41.668,34.977,23.355,0.500
42.261,33.104,24.635,0.500
42.765,31.296,25.939,0.500
43.181,29.549,27.270,0.500
43.507,27.873,28.621,0.500
43.744,26.265,29.991,1.000
43.893,24.724,31.382,1.000
43.957,23.257,32.786,1.000
43.936,21.858,34.207,1.000
43.833,20.531,35.636,1.000
43.652,19.273,37.074,1.000
43.396,18.081,38.523,1.000
43.069,16.956,39.975,1.000
42.673,15.893,41.434,1.000
42.214,14.893,42.892,1.000
41.695,13.953,44.352,1.000
41.119,13.066,45.814,1.000
40.492,12.236,47.273,1.000
39.815,11.454,48.731,1.000
42.712,36.820,20.469,0.500
43.455,34.920,21.626,0.500
44.113,33.073,22.814,0.500
44.683,31.289,24.028,0.500
45.166,29.566,25.269,0.500
45.557,27.911,26.532,0.500
45.859,26.323,27.817,0.500
46.073,24.802,29.125,1.000
46.198,23.353,30.450,1.000
46.236,21.970,31.794,1.000
46.191,20.658,33.151,1.000
46.065,19.413,34.522,1.000
45.860,18.233,35.908,1.000
45.580,17.118,37.302,1.000
45.228,16.065,38.708,1.000
44.808,15.073,40.119,1.000
44.324,14.138,41.538,1.000
43.779,13.257,42.964,1.000
43.177,12.431,44.393,1.000
42.521,11.653,45.827,1.000
41.816,10.923,47.261,1.000
44.451,36.635,18.914,0.500
45.256,34.762,19.981,0.500
45.979,32.942,21.079,0.500
46.613,31.185,22.202,0.500
47.160,29.486,23.354,0.500
47.616,27.856,24.529,0.500
47.982,26.292,25.727,0.500
48.258,24.792,26.950,0.500
48.445,23.363,28.192,1.000
48.545,22.000,29.455,1.000
48.559,20.706,30.736,1.000
48.489,19.478,32.034,1.000
48.338,18.313,33.350,1.000
48.109,17.212,34.679,1.000
47.805,16.171,36.024,1.000
47.429,15.190,37.380,1.000
46.986,14.266,38.748,1.000
46.477,13.394,40.129,1.000
45.907,12.575,41.517,1.000
45.279,11.804,42.917,1.000
44.598,11.080,44.322,1.000
46.206,36.351,17.442,0.500
47.070,34.507,18.422,0.500
47.853,32.716,19.432,0.500
48.548,30.985,20.467,0.500
49.157,29.314,21.530,0.500
49.675,27.709,22.616,0.500
50.103,26.170,23.727,0.500
50.442,24.695,24.863,0.500
50.690,23.289,26.021,0.500
50.851,21.947,27.202,1.000
50.924,20.674,28.402,1.000
50.912,19.466,29.623,1.000
50.816,18.319,30.864,1.000
50.641,17.236,32.123,1.000
50.388,16.211,33.401,1.000
50.061,15.245,34.694,1.000
49.663,14.334,36.003,1.000
49.196,13.475,37.330,1.000
48.665,12.667,38.669,1.000
48.071,11.905,40.023,1.000
47.421,11.191,41.389,1.000
46.715,10.519,42.766,1.000
47.973,35.973,16.054,0.500
48.892,34.158,16.949,0.500
49.731,32.396,17.873,0.500
50.484,30.694,18.822,0.500
51.151,29.051,19.798,0.500
51.729,27.473,20.798,0.500
52.217,25.961,21.822,0.500
52.616,24.512,22.872,0.500
52.924,23.131,23.945,0.500
53.144,21.814,25.042,0.500
53.276,20.564,26.160,1.000
53.322,19.378,27.300,1.000
53.283,18.253,28.464,1.000
53.164,17.189,29.647,1.000
52.964,16.183,30.853,1.000
52.688,15.235,32.077,1.000
52.339,14.341,33.320,1.000
51.918,13.496,34.585,1.000
51.431,12.703,35.866,1.000
50.878,11.955,37.168,1.000
50.264,11.252,38.484,1.000
49.593,10.591,39.816,1.000
49.748,35.504,14.747,0.500
50.718,33.720,15.562,0.500
51.609,31.987,16.404,0.500
52.416,30.315,17.269,0.500
53.138,28.701,18.161,0.500
53.771,27.152,19.076,0.500
54.316,25.668,20.016,0.500
54.772,24.247,20.981,0.500
55.138,22.894,21.969,0.500
55.415,21.603,22.982,0.500
55.604,20.378,24.017,0.500
55.708,19.217,25.076,0.500
55.726,18.114,26.159,1.000
55.662,17.074,27.264,1.000
55.517,16.089,28.394,1.000
55.295,15.161,29.544,1.000
54.997,14.286,30.717,1.000
54.626,13.459,31.914,1.000
54.186,12.683,33.131,1.000
53.679,11.950,34.371,1.000
53.108,11.262,35.630,1.000
52.476,10.615,36.909,1.000
51.529,34.950,13.521,0.500
52.545,33.196,14.259,0.500
53.484,31.494,15.023,0.500
54.339,29.852,15.809,0.500
55.112,28.268,16.620,0.500
55.797,26.750,17.453,0.500
56.394,25.296,18.310,0.500
56.903,23.904,19.193,0.500
57.324,22.579,20.098,0.500
57.656,21.316,21.028,0.500
57.901,20.119,21.980,0.500
58.059,18.984,22.957,0.500
58.134,17.907,23.960,0.500
58.125,16.891,24.985,1.000
58.035,15.929,26.036,1.000
57.867,15.024,27.110,1.000
57.622,14.170,28.208,1.000
57.304,13.364,29.332,1.000
56.915,12.607,30.479,1.000
56.456,11.892,31.652,1.000
55.932,11.221,32.846,1.000
55.346,10.590,34.064,1.000
53.311,34.317,12.373,0.500
54.368,32.594,13.039,0.500
55.349,30.922,13.728,0.500
56.249,29.312,14.439,0.500
57.068,27.759,15.173,0.500
57.799,26.272,15.928,0.500
58.445,24.849,16.707,0.500
59.004,23.487,17.509,0.500
59.474,22.192,18.333,0.500
59.858,20.959,19.183,0.500
60.155,19.790,20.054,0.500
60.367,18.683,20.950,0.500
60.495,17.633,21.872,0.500
60.540,16.643,22.817,0.500
60.504,15.707,23.789,0.500
60.390,14.826,24.784,1.000
60.199,13.996,25.805,1.000
59.934,13.212,26.854,1.000
59.597,12.476,27.927,1.000
59.191,11.782,29.028,1.000
58.717,11.130,30.153,1.000
58.180,10.517,31.304,1.000
55.090,33.610,11.300,0.000
56.183,31.918,11.899,0.500
57.202,30.279,12.519,0.500
58.141,28.700,13.159,0.500
59.000,27.180,13.820,0.500
59.773,25.725,14.502,0.500
60.462,24.333,15.205,0.500
61.066,23.003,15.931,0.500
61.583,21.739,16.678,0.500
62.014,20.536,17.450,0.500
62.360,19.397,18.243,0.500
62.621,18.319,19.060,0.500
62.799,17.299,19.902,0.500
62.896,16.336,20.768,0.500
62.913,15.427,21.661,0.500
62.851,14.571,22.577,0.500
62.714,13.766,23.521,0.500
62.502,13.006,24.492,1.000
62.219,12.293,25.489,1.000
61.865,11.620,26.515,1.000
61.445,10.989,27.566,1.000
60.959,10.396,28.645,1.000
56.861,32.837,10.302,0.000
57.985,31.177,10.838,0.500
59.037,29.570,11.393,0.500
60.010,28.024,11.966,0.500
60.904,26.536,12.560,0.500
61.714,25.114,13.172,0.500
62.441,23.754,13.804,0.500
63.085,22.457,14.458,0.500
63.643,21.225,15.132,0.500
64.117,20.054,15.829,0.500
64.507,18.946,16.547,0.500
64.814,17.899,17.288,0.500
65.039,16.907,18.053,0.500
65.184,15.974,18.842,0.500
65.251,15.092,19.657,0.500
65.240,14.264,20.496,0.500
65.154,13.484,21.362,0.500
64.995,12.750,22.256,0.500
64.764,12.060,23.175,0.500
64.464,11.411,24.124,1.000
64.098,10.802,25.100,1.000
63.666,10.229,26.105,1.000
58.621,32.004,9.375,0.000
59.770,30.377,9.852,0.000
60.849,28.803,10.348,0.500
61.850,27.290,10.860,0.500
62.774,25.836,11.390,0.500
63.616,24.446,11.937,0.500
64.376,23.120,12.503,0.500
65.054,21.856,13.090,0.500
65.648,20.657,13.695,0.500
66.161,19.518,14.321,0.500
66.590,18.443,14.967,0.500
66.938,17.426,15.636,0.500
67.206,16.466,16.328,0.500
67.396,15.562,17.042,0.500
67.509,14.709,17.782,0.500
67.546,13.909,18.546,0.500
67.509,13.156,19.335,0.500
67.400,12.448,20.152,0.500
67.222,11.783,20.995,0.500
66.974,11.158,21.868,0.500
66.661,10.572,22.767,0.500
66.283,10.021,23.696,1.000
59.128,32.767,8.106,0.000
60.365,31.120,8.515,0.000
61.535,29.526,8.939,0.000
62.636,27.985,9.380,0.000
63.660,26.505,9.835,0.500
64.608,25.085,10.307,0.500
65.476,23.730,10.794,0.500
66.263,22.438,11.299,0.500
