Co, V, Zr, is_glass
10.230,34.657,55.113,0.500
10.490,32.885,56.625,0.500
10.745,31.161,58.094,0.500
10.991,29.496,59.513,0.500
11.229,27.888,60.883,0.500
11.458,26.343,62.198,0.500
11.679,24.862,63.459,0.500
11.891,23.444,64.665,0.500
12.093,22.093,65.814,0.500
12.287,20.805,66.908,0.500
12.470,19.585,67.945,0.500
12.645,18.429,68.927,0.500
12.810,17.333,69.857,0.500
10.382,40.474,49.145,0.500
10.698,38.576,50.726,0.500
11.008,36.712,52.280,0.500
11.313,34.893,53.795,0.500
11.610,33.121,55.269,0.500
11.899,31.398,56.703,0.500
12.180,29.734,58.086,0.500
12.453,28.126,59.422,0.500
12.715,26.582,60.703,0.500
12.969,25.101,61.931,0.500
13.212,23.682,63.106,0.500
13.445,22.331,64.224,0.500
13.668,21.043,65.289,0.500
13.881,19.821,66.298,0.500
14.083,18.664,67.253,0.500
14.276,17.567,68.157,0.500
14.459,16.532,69.009,0.500
11.078,42.577,46.345,0.500
11.441,40.643,47.915,0.500
11.799,38.745,49.456,0.500
12.151,36.881,50.968,0.500
12.496,35.063,52.441,0.500
12.833,33.293,53.874,0.500
13.162,31.573,55.265,0.500
13.481,29.911,56.608,0.500
13.791,28.305,57.903,0.500
14.091,26.764,59.145,0.500
14.380,25.286,60.335,0.500
14.658,23.869,61.473,0.500
14.925,22.520,62.555,0.500
15.182,21.233,63.586,0.500
15.426,20.013,64.561,0.500
15.660,18.856,65.484,0.500
15.883,17.759,66.358,0.500
16.096,16.725,67.180,0.500
16.298,15.747,67.955,0.500
11.774,44.629,43.597,0.500
12.187,42.670,45.142,0.500
12.597,40.736,46.667,0.500
13.000,38.839,48.161,0.500
13.397,36.977,49.626,0.500
13.786,35.162,51.052,0.500
14.167,33.396,52.437,0.500
14.539,31.679,53.782,0.500
14.900,30.022,55.078,0.500
15.251,28.421,56.328,0.500
15.590,26.885,57.525,0.500
15.918,25.411,58.671,0.500
16.235,23.998,59.766,0.500
16.539,22.653,60.808,0.500
16.832,21.370,61.798,0.500
17.112,20.153,62.735,0.500
17.380,18.999,63.621,0.500
17.637,17.904,64.458,0.500
17.882,16.872,65.246,0.500
18.116,15.896,65.988,0.500
18.339,14.979,66.683,0.500
12.931,44.639,42.430,0.500
13.395,42.680,43.925,0.500
13.854,40.747,45.399,0.500
14.307,38.852,46.842,0.500
14.753,36.994,48.254,0.500
15.190,35.183,49.627,0.500
15.617,33.423,50.960,0.500
16.035,31.713,52.252,0.500
16.442,30.062,53.496,0.500
16.837,28.468,54.695,0.500
17.220,26.938,55.842,0.500
17.591,25.471,56.939,0.500
17.949,24.065,57.986,0.500
18.293,22.726,58.981,0.500
18.625,21.449,59.926,0.500
18.944,20.237,60.819,0.500
19.249,19.088,61.663,0.500
19.543,17.998,62.459,0.500
19.823,16.970,63.207,0.500
20.092,15.998,63.911,0.500
20.348,15.083,64.569,0.500
14.188,44.559,41.254,1.000
14.705,42.600,42.694,0.500
15.219,40.669,44.112,0.500
15.724,38.778,45.498,0.500
16.222,36.926,46.852,0.500
16.711,35.122,48.167,0.500
17.189,33.369,49.442,0.500
17.657,31.667,50.677,0.500
18.112,30.025,51.864,0.500
18.555,28.439,53.006,0.500
18.984,26.918,54.098,0.500
19.400,25.460,55.140,0.500
19.802,24.063,56.135,0.500
20.190,22.733,57.078,0.500
20.564,21.463,57.973,0.500
20.923,20.260,58.817,0.500
21.269,19.118,59.613,0.500
21.601,18.035,60.364,0.500
21.920,17.013,61.068,0.500
22.225,16.047,61.728,0.500
22.518,15.137,62.345,0.500
15.550,44.382,40.068,1.000
16.126,42.426,41.448,1.000
16.696,40.499,42.805,0.500
17.257,38.614,44.129,0.500
17.811,36.768,45.420,0.500
