composition gfa{AM,CR} processing{meltspin,sputtering}
Co46.300000V33.000000Zr20.700000 CR sputtering
Co46.100000V32.100000Zr21.700000 AM sputtering
Co45.900000V31.300000Zr22.800000 AM sputtering
Co45.600000V30.400000Zr24.000000 AM sputtering
Co45.300000V29.600000Zr25.100000 AM sputtering
Co44.900000V28.700000Zr26.300000 AM sputtering
Co44.500000V27.900000Zr27.600000 AM sputtering
Co44.000000V27.000000Zr28.900000 AM sputtering
Co43.500000V26.200000Zr30.300000 AM sputtering
Co43.000000V25.400000Zr31.700000 AM sputtering
Co42.300000V24.500000Zr33.100000 AM sputtering
Co41.700000V23.700000Zr34.600000 AM sputtering
Co41.000000V22.900000Zr36.100000 AM sputtering
Co40.200000V22.100000Zr37.700000 AM sputtering
Co39.400000V21.300000Zr39.300000 AM sputtering
Co38.600000V20.500000Zr40.900000 AM sputtering
Co37.700000V19.700000Zr42.600000 AM sputtering
Co36.800000V18.900000Zr44.300000 AM sputtering
Co49.600000V35.000000Zr15.400000 CR sputtering
Co49.700000V34.200000Zr16.200000 CR sputtering
Co49.700000V33.300000Zr17.000000 CR sputtering
Co49.600000V32.500000Zr17.800000 CR sputtering
Co49.600000V31.700000Zr18.700000 CR sputtering
Co49.400000V30.900000Zr19.700000 AM sputtering
Co49.200000V30.100000Zr20.700000 CR sputtering
Co49.000000V29.300000Zr21.700000 AM sputtering
Co48.700000V28.500000Zr22.700000 AM sputtering
Co48.400000V27.800000Zr23.900000 AM sputtering
Co48.000000V27.000000Zr25.000000 AM sputtering
Co47.600000V26.200000Zr26.200000 AM sputtering
Co47.100000V25.400000Zr27.500000 AM sputtering
Co46.500000V24.700000Zr28.800000 AM sputtering
Co46.000000V23.900000Zr30.100000 AM sputtering
Co45.300000V23.200000Zr31.500000 AM sputtering
Co44.600000V22.400000Zr32.900000 AM sputtering
Co43.900000V21.700000Zr34.400000 AM sputtering
Co43.100000V20.900000Zr35.900000 AM sputtering
Co42.300000V20.200000Zr37.500000 AM sputtering
Co41.500000V19.500000Zr39.100000 AM sputtering
Co40.600000V18.800000Zr40.700000 AM sputtering
Co39.600000V18.000000Zr42.300000 AM sputtering
Co52.800000V32.600000Zr14.600000 CR sputtering
Co52.800000V31.800000Zr15.300000 CR sputtering
Co52.800000V31.100000Zr16.100000 CR sputtering
Co52.800000V30.300000Zr16.900000 CR sputtering
Co52.700000V29.600000Zr17.700000 CR sputtering
Co52.600000V28.800000Zr18.600000 CR sputtering
Co52.400000V28.100000Zr19.500000 CR sputtering
Co52.100000V27.400000Zr20.500000 CR sputtering
Co51.800000V26.700000Zr21.500000 AM sputtering
Co51.500000V25.900000Zr22.600000 AM sputtering
Co51.100000V25.200000Zr23.700000 AM sputtering
Co50.700000V24.500000Zr24.800000 AM sputtering
Co50.200000V23.800000Zr26.000000 AM sputtering
Co49.600000V23.200000Zr27.200000 AM sputtering
Co49.000000V22.500000Zr28.500000 AM sputtering
Co48.400000V21.800000Zr29.800000 AM sputtering
Co47.700000V21.100000Zr31.200000 AM sputtering
Co46.900000V20.400000Zr32.600000 AM sputtering
Co46.100000V19.800000Zr34.100000 AM sputtering
Co45.300000V19.100000Zr35.600000 AM sputtering
Co44.400000V18.500000Zr37.100000 AM sputtering
Co43.500000V17.800000Zr38.700000 AM sputtering
Co42.500000V17.200000Zr40.300000 AM sputtering
Co56.000000V30.200000Zr13.800000 CR sputtering
Co56.000000V29.500000Zr14.500000 CR sputtering
Co56.000000V28.800000Zr15.200000 CR sputtering
Co56.000000V28.100000Zr15.900000 CR sputtering
Co55.800000V27.400000Zr16.700000 CR sputtering
