Co, Ti, Zr, is_glass
11.798,42.856,45.347,0.500
9.197,75.998,14.804,0.000
9.494,74.722,15.784,0.000
9.786,73.410,16.804,0.000
10.072,72.063,17.865,0.000
10.351,70.682,18.967,0.000
10.623,69.267,20.110,0.000
10.886,67.820,21.294,0.500
11.140,66.342,22.518,0.500
11.383,64.835,23.782,0.500
11.615,63.301,25.084,0.500
11.834,61.742,26.424,0.500
12.040,60.159,27.801,0.500
12.232,58.555,29.213,0.500
12.408,56.932,30.660,0.500
12.568,55.292,32.140,0.500
12.710,53.637,33.653,0.500
12.833,51.970,35.197,0.500
12.936,50.291,36.773,0.500
13.019,48.602,38.380,0.500
13.079,46.905,40.016,0.500
13.115,45.201,41.683,0.500
13.127,43.492,43.381,0.500
13.113,41.778,45.109,0.500
10.394,74.870,14.736,0.000
10.722,73.577,15.701,0.000
11.045,72.249,16.706,0.000
11.360,70.888,17.751,0.500
11.668,69.495,18.837,0.500
11.966,68.070,19.963,0.500
12.255,66.616,21.130,0.500
12.532,65.132,22.336,0.500
12.797,63.622,23.582,0.500
13.048,62.086,24.866,0.500
13.285,60.526,26.188,0.500
13.507,58.946,27.547,0.500
13.711,57.346,28.943,0.500
13.898,55.728,30.374,0.500
14.065,54.096,31.839,0.500
14.213,52.450,33.337,0.500
14.338,50.793,34.869,0.500
14.442,49.126,36.433,0.500
14.521,47.452,38.028,0.500
14.575,45.771,39.654,0.500
14.602,44.086,41.312,0.500
14.603,42.397,43.000,0.500
14.574,40.707,44.719,0.500
11.737,73.615,14.648,0.500
12.098,72.306,15.595,0.500
12.453,70.965,16.582,0.500
12.800,69.592,17.608,0.500
13.137,68.189,18.674,0.500
13.464,66.758,19.779,0.500
13.778,65.298,20.924,0.500
14.080,63.812,22.108,0.500
14.367,62.302,23.331,0.500
14.639,60.769,24.592,0.500
14.894,59.215,25.891,0.500
15.131,57.641,27.228,0.500
15.349,56.051,28.600,0.500
15.546,54.445,30.009,0.500
15.721,52.827,31.452,0.500
15.874,51.197,32.929,0.500
16.002,49.558,34.440,0.500
16.104,47.912,35.984,0.500
16.180,46.260,37.560,0.500
16.228,44.604,39.168,0.500
16.246,42.946,40.808,0.500
16.235,41.286,42.479,0.500
