Fe, Ti, Nb, is_glass
    66.827,     9.033,    24.140,     0.500
    63.649,    24.629,    11.722,     0.500
    64.442,    23.428,    12.130,     0.500
    65.179,    22.279,    12.541,     0.500
    65.861,    21.181,    12.958,     0.500
    66.488,    20.132,    13.380,     0.500
    67.063,    19.130,    13.807,     0.500
    67.585,    18.175,    14.240,     0.500
    68.056,    17.265,    14.679,     0.500
    68.478,    16.397,    15.125,     0.500
    68.852,    15.570,    15.578,     0.500
    69.178,    14.784,    16.038,     0.500
    69.459,    14.035,    16.506,     0.500
    69.695,    13.323,    16.982,     0.500
    69.888,    12.645,    17.467,     0.500
    70.038,    12.001,    17.961,     0.500
    70.147,    11.389,    18.464,     0.500
    70.217,    10.806,    18.977,     0.500
    70.247,    10.253,    19.500,     0.500
    70.239,     9.727,    20.034,     0.500
    70.194,     9.227,    20.579,     0.500
    70.112,     8.751,    21.136,     0.500
    66.758,    22.561,    10.681,     0.500
    67.521,    21.443,    11.036,     0.500
    68.230,    20.376,    11.394,     0.500
    68.886,    19.358,    11.756,     0.500
    69.489,    18.388,    12.123,     0.500
    70.041,    17.465,    12.495,     0.500
    70.543,    16.586,    12.871,     0.500
    70.997,    15.749,    13.254,     0.500
    71.404,    14.953,    13.642,     0.500
    71.766,    14.197,    14.037,     0.500
    72.083,    13.478,    14.439,     0.500
    72.358,    12.794,    14.848,     0.500
    72.590,    12.145,    15.265,     0.500
    72.783,    11.528,    15.689,     0.500
    72.936,    10.942,    16.122,     0.500
    73.051,    10.386,    16.563,     0.500
    73.128,     9.858,    17.014,     0.500
    73.170,     9.356,    17.475,     0.500
    73.176,     8.879,    17.945,     0.500
    73.148,     8.426,    18.426,     0.500
    73.086,     7.995,    18.918,     0.500
    70.473,    19.531,     9.996,     0.500
    71.148,    18.546,    10.306,     0.500
    71.772,    17.609,    10.620,     0.500
    72.346,    16.718,    10.937,     0.500
    72.871,    15.870,    11.259,     0.500
    73.349,    15.066,    11.585,     0.500
    73.783,    14.301,    11.916,     0.500
    74.172,    13.575,    12.253,     0.500
    74.518,    12.886,    12.596,     0.500
    74.823,    12.232,    12.945,     0.500
    75.089,    11.611,    13.301,     0.500
    75.316,    11.022,    13.663,     0.500
    75.505,    10.462,    14.033,     0.500
    75.658,     9.932,    14.410,     0.500
    75.776,     9.428,    14.795,     0.500
    75.860,     8.951,    15.189,     0.500
    75.911,     8.497,    15.592,     0.500
    75.930,     8.066,    16.004,     0.500
    75.918,     7.657,    16.425,     0.500
    73.915,    16.803,     9.283,     0.000
    74.503,    15.945,     9.553,     0.000
    75.044,    15.130,     9.826,     0.000
    75.539,    14.358,    10.103,     0.000
    75.990,    13.625,    10.385,     0.000
    76.400,    12.930,    10.671,     0.000
    76.768,    12.270,    10.962,     0.000
    77.096,    11.646,    11.258,     0.000
    77.387,    11.053,    11.560,     0.000
    77.641,    10.492,    11.867,     0.000
    77.860,     9.959,    12.181,     0.000
    78.044,     9.454,    12.501,     0.000
    78.196,     8.976,    12.828,     0.000
    78.315,     8.522,    13.163,     0.000
    78.404,     8.091,    13.505,     0.000
    78.462,     7.683,    13.855,     0.000
    78.491,     7.295,    14.213,     0.000
    77.066,    14.375,     8.558,     0.000
    77.572,    13.635,     8.793,     0.000
    78.035,    12.934,     9.031,     0.000
    79.494,    10.482,    10.024,     0.000
    79.768,     9.948,    10.284,     0.000
    80.009,     9.442,    10.549,     0.000
    80.395,     8.509,    11.096,     0.000
    80.543,     8.079,    11.378,     0.000
    80.662,     7.671,    11.667,     0.000
    80.753,     7.285,    11.962,     0.000
    80.817,     6.918,    12.265,     0.000
    79.923,    12.238,     7.839,     0.000
    80.352,    11.605,     8.043,     0.000
    80.743,    11.007,     8.250,     0.000
    81.098,    10.441,     8.461,     0.000
    81.419,     9.905,     8.676,     0.000
    81.707,     9.399,     8.894,     0.000
    81.963,     8.919,     9.117,     0.000
    82.190,     8.466,     9.345,     0.000
    82.387,     8.036,     9.577,     0.000
    82.556,     7.630,     9.814,     0.000
    82.699,     7.244,    10.057,     0.000
    82.816,     6.879,    10.305,     0.000
    82.908,     6.533,    10.559,     0.000
    82.848,     9.837,     7.315,     0.000
