# peak_position, peak_width_max, peak_width_min, peak_intensity, num_of_peaks
2.304507233801188715e+00,8.211424255920540816e-02,6.710877181854521534e-02,5.516181990195634626e+02,2.000000000000000000e+00
2.344138850371073168e+00,1.871455357386021812e-01,1.202599601671122953e-01,2.950558420406152891e+02,2.000000000000000000e+00
2.339739935936760773e+00,1.582075626288770576e-01,1.092768114202402885e-01,2.981225723812335104e+02,2.000000000000000000e+00
2.334664598490917786e+00,1.392562547296338771e-01,9.894429529763841547e-02,3.023556105737245616e+02,2.000000000000000000e+00
2.330828610574791959e+00,1.297456492074182122e-01,9.414213821488380540e-02,3.102141514126095103e+02,2.000000000000000000e+00
2.327682963980639119e+00,1.228072976659302512e-01,8.939730364952896968e-02,3.172675372847860444e+02,2.000000000000000000e+00
2.324598873024885659e+00,1.164631379672377148e-01,8.559803612645866533e-02,3.301849871403861130e+02,2.000000000000000000e+00
2.321506241563011219e+00,1.109047542712951334e-01,8.207067600859103973e-02,3.472357135749227268e+02,2.000000000000000000e+00
2.318602357119371682e+00,1.051018270602400578e-01,7.989090921936654877e-02,3.638316701171709724e+02,2.000000000000000000e+00
2.316135373107211848e+00,9.968325098843336396e-02,7.833124525144434525e-02,3.791005433692997144e+02,2.000000000000000000e+00
2.313936778986284803e+00,9.513270628616594948e-02,7.674867642644545018e-02,3.980949810722669895e+02,2.000000000000000000e+00
2.311896853976411315e+00,9.155316749059362602e-02,7.600258355333784632e-02,4.128171046936184894e+02,2.000000000000000000e+00
2.310224534239423644e+00,8.935984238082289588e-02,7.518524153302798274e-02,4.298373182330162763e+02,2.000000000000000000e+00
2.308501032537635389e+00,8.780819823370762667e-02,7.397088339070763408e-02,4.471670665873579651e+02,2.000000000000000000e+00
2.306984581455124861e+00,8.686798549240598577e-02,7.225100745689987114e-02,4.622721514856701219e+02,2.000000000000000000e+00
2.305612537173562071e+00,8.631588485225467899e-02,7.054304303602450255e-02,4.748197825513598218e+02,2.000000000000000000e+00
2.305612537173562071e+00,8.631588485225467899e-02,7.054304303602450255e-02,4.748197825513598218e+02,2.000000000000000000e+00
2.302483553734720356e+00,8.879288070220568707e-02,6.829775506968269183e-02,4.777688495505526021e+02,2.000000000000000000e+00
2.344957148662661695e+00,2.576206997761449347e-01,1.386326750989472778e-01,2.421652163375753162e+02,2.000000000000000000e+00
2.343216002041207169e+00,2.185496311221792609e-01,1.259304725806945358e-01,2.613694647126646942e+02,2.000000000000000000e+00
2.339759978952611785e+00,1.832330719779537154e-01,1.162744776285430798e-01,2.650811448471622498e+02,2.000000000000000000e+00
2.335294635747428238e+00,1.566484233420183392e-01,1.051743786749608223e-01,2.689461474064060553e+02,2.000000000000000000e+00
2.331576049406753892e+00,1.404858286669291023e-01,9.787185196053670155e-02,2.757981112742249366e+02,2.000000000000000000e+00
2.328364896563683395e+00,1.303170372236052976e-01,9.261171661891810791e-02,2.900643800173697855e+02,2.000000000000000000e+00
2.325193736700117864e+00,1.226602454987519714e-01,8.898204191671743590e-02,3.052844845473331929e+02,2.000000000000000000e+00
2.322168671477164548e+00,1.156852289359249358e-01,8.514146230541412563e-02,3.202600194448939988e+02,2.000000000000000000e+00
2.319461482050622081e+00,1.091567135488000218e-01,8.228949143212505035e-02,3.422263208226784172e+02,2.000000000000000000e+00
2.317334160792154041e+00,1.033540252300783335e-01,8.013888776588978802e-02,3.553357657393203226e+02,2.000000000000000000e+00
2.315205867365960124e+00,9.794380847412897939e-02,7.807606476866822687e-02,3.726230656630812064e+02,2.000000000000000000e+00
2.312961467390068471e+00,9.377225544613132513e-02,7.675993894250279781e-02,3.896917105974059723e+02,2.000000000000000000e+00
