# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,V,Zr,Co_adjusted,V_adjusted,Zr_adjusted,# peak_position, peak_width, peak_intensity
6.70E+01,1.50E+01,-3.00E+01,3.00E+01,4.05E+06,4.78E+06,0.00E+00,1.39E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,1.98E+06,1.64E+06,3.09E+05,9.90E+05,1.55E+05,1.77E+04,4.67E+04,3.17E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.20E+01,2.74E+03,1.23E+03,2.23E+00,2.20E+01,3.06E-06,21.05977339,30.08616586,48.85406074,21.16110321,29.84029267,48.99860412,2.66E+00,5.53E-01,1.65E+03
6.80E+01,1.80E+01,-3.00E+01,3.00E+01,4.04E+06,4.77E+06,0.00E+00,1.39E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,1.95E+06,1.63E+06,2.92E+05,9.81E+05,1.54E+05,1.81E+04,4.39E+04,3.26E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+01,2.79E+03,1.23E+03,2.27E+00,2.30E+01,3.07E-06,20.82656488,28.42976584,50.74366928,20.94723774,28.18692664,50.86583562,2.65E+00,5.45E-01,1.71E+03
8.00E+01,-2.10E+01,-2.70E+01,3.00E+01,4.03E+06,4.77E+06,0.00E+00,1.40E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.25E+06,1.83E+06,4.83E+05,1.01E+06,1.53E+05,1.04E+04,7.17E+04,3.42E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+01,2.11E+03,1.16E+03,1.82E+00,2.40E+01,3.54E-06,22.66754211,50.77039725,26.56206065,22.51567454,50.70291502,26.78141044,2.78E+00,6.07E-01,9.63E+02
8.10E+01,-1.80E+01,-2.70E+01,3.00E+01,4.07E+06,4.81E+06,0.00E+00,1.41E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.27E+06,1.84E+06,4.72E+05,1.03E+06,1.56E+05,1.13E+04,6.98E+04,3.41E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.50E+01,2.16E+03,1.18E+03,1.84E+00,2.50E+01,3.46E-06,22.95912128,48.93257473,28.10830399,22.82825531,48.84100451,28.33074018,2.77E+00,6.12E-01,1.01E+03
8.20E+01,-1.50E+01,-2.70E+01,3.00E+01,4.07E+06,4.81E+06,0.00E+00,1.40E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,2.27E+06,1.84E+06,4.57E+05,1.04E+06,1.58E+05,1.19E+04,6.75E+04,3.45E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.60E+01,2.20E+03,1.18E+03,1.86E+00,2.60E+01,3.44E-06,23.20962877,47.08902678,29.70134445,23.1000982,46.9749622,29.9249396,2.76E+00,6.14E-01,1.05E+03
8.30E+01,-1.20E+01,-2.70E+01,3.00E+01,4.06E+06,4.80E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.24E+06,1.83E+06,4.39E+05,1.05E+06,1.59E+05,1.24E+04,6.57E+04,3.38E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.70E+01,2.24E+03,1.19E+03,1.88E+00,2.70E+01,3.37E-06,23.41767597,45.24196828,31.34035575,23.32984976,45.10701003,31.56314021,2.75E+00,6.16E-01,1.09E+03
8.40E+01,-9.00E+00,-2.70E+01,3.00E+01,4.07E+06,4.79E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.23E+06,1.81E+06,4.23E+05,1.05E+06,1.61E+05,1.26E+04,6.31E+04,3.32E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.80E+01,2.27E+03,1.19E+03,1.90E+00,2.80E+01,3.32E-06,23.58156812,43.39373122,33.02470066,23.51588602,43.23986535,33.24424863,2.74E+00,6.14E-01,1.13E+03
8.50E+01,-6.00E+00,-2.70E+01,3.00E+01,4.06E+06,4.78E+06,0.00E+00,1.40E+07,1.24E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.22E+06,1.81E+06,4.08E+05,1.06E+06,1.62E+05,1.35E+04,6.10E+04,3.44E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E+01,2.32E+03,1.20E+03,1.93E+00,2.90E+01,3.29E-06,23.69950009,41.55623645,34.74426346,23.65602131,41.38565535,34.95832333,2.73E+00,6.12E-01,1.18E+03
8.60E+01,-3.00E+00,-2.70E+01,3.00E+01,4.05E+06,4.78E+06,0.00E+00,1.40E+07,1.25E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,2.22E+06,1.81E+06,3.93E+05,1.07E+06,1.64E+05,1.42E+04,5.86E+04,3.43E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+01,2.38E+03,1.21E+03,1.97E+00,3.00E+01,3.26E-06,23.77093702,39.72898593,36.50007705,23.74978429,39.54391798,36.70629772,2.72E+00,6.07E-01,1.25E+03
8.70E+01,0.00E+00,-2.70E+01,3.00E+01,4.05E+06,4.77E+06,0.00E+00,1.40E+07,1.23E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,2.17E+06,1.77E+06,3.73E+05,1.06E+06,1.62E+05,1.46E+04,5.56E+04,3.35E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.10E+01,2.42E+03,1.21E+03,2.00E+00,3.10E+01,3.21E-06,23.79488911,37.92370871,38.28140218,23.79609631,37.72663972,38.47726397,2.71E+00,6.02E-01,1.30E+03
