# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
90,8.999,-27.0001,30,3998828,4943071,0,13709370,103258,0,0,0,35.53641,804030,741420,405308,218437,25482,4585,1649,3567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E+01,1.09E+03,7.49E+02,1.46E+00,3.40E+01,1.48E-05,13.19977809,46.69842082,40.10180109,,,,1.49E+04,2.03E+03,5.26E+03,7.21E+02,2.70E+00,8.25E-01,1.83E+02
91,12.002,-27.0001,30,4021747,4992768,0,13672441,102818,0,0,0,35.137101,786480,727770,381112,213905,25891,4822,1610,3536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E+01,1.10E+03,7.50E+02,1.47E+00,3.50E+01,1.51E-05,13.31405914,44.49059015,42.19535071,,,,1.41E+04,1.91E+03,5.02E+03,6.88E+02,2.67E+00,7.84E-01,1.88E+02
92,15,-27.0001,30,4009896,4990997,0,13811110,103332,0,0,0,35.10392,755430,700230,356106,205887,25354,4909,1476,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60E+01,1.08E+03,7.43E+02,1.46E+00,3.60E+01,1.53E-05,13.39278105,42.32470494,44.28251401,,,,1.31E+04,1.78E+03,4.92E+03,6.74E+02,2.64E+00,7.42E-01,1.97E+02
93,17.998,-27.0001,30,3999155,4983706,0,13729324,103103,0,0,0,35.004299,725490,674280,329762,200330,25029,4861,1485,3679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70E+01,1.07E+03,7.38E+02,1.45E+00,3.70E+01,1.54E-05,13.43633353,40.20427705,46.35938942,,,,1.21E+04,1.65E+03,4.91E+03,6.73E+02,2.62E+00,7.04E-01,2.09E+02
94,21.001,-27.0001,30,3993800,4975574,0,13724173,102546,0,0,0,35.157135,684690,638730,307843,194101,24817,4945,1404,3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80E+01,1.07E+03,7.34E+02,1.46E+00,3.80E+01,1.48E-05,13.44509096,38.13194223,48.42296681,,,,1.13E+04,1.54E+03,4.85E+03,6.65E+02,2.60E+00,6.75E-01,2.23E+02
104,-23.999,-24,30,3991901,4977292,0,13088804,103880,0,0,0,35.023801,1400460,1228890,866424,304242,27315,3627,2830,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90E+01,1.26E+03,8.81E+02,1.43E+00,3.90E+01,1.17E-05,10.4091049,71.62551152,17.96538357,,,,3.21E+04,4.37E+03,4.87E+03,6.67E+02,3.00E+00,4.61E-01,3.78E+02
105,-21.001,-24,30,3987844,4960759,0,13025617,102897,0,0,0,35.070547,1332900,1176060,819068,297770,26876,2989,2641,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E+01,1.22E+03,8.64E+02,1.41E+00,4.00E+01,1.21E-05,10.85011421,69.66918286,19.48070293,,,,3.04E+04,4.13E+03,4.97E+03,6.80E+02,2.99E+00,4.80E-01,3.51E+02
106,-17.998,-24,30,3985728,4944156,0,13606344,102547,0,0,0,35.092234,1268670,1126140,769154,290778,27079,3080,2480,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10E+01,1.19E+03,8.47E+02,1.41E+00,4.10E+01,1.23E-05,11.27965186,67.64485557,21.07549257,,,,2.85E+04,3.87E+03,5.36E+03,7.34E+02,2.98E+00,5.01E-01,3.27E+02
107,-15,-24,30,3991470,4944954,0,13066726,102255,0,0,0,34.918565,1220040,1086960,723153,284814,27224,3281,2402,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20E+01,1.18E+03,8.35E+02,1.41E+00,4.20E+01,1.27E-05,11.69269946,65.56619799,22.74110255,,,,2.68E+04,3.64E+03,5.56E+03,7.62E+02,2.97E+00,5.20E-01,3.04E+02
108,-12.002,-24,30,4016953,4986627,0,13235303,103431,0,0,0,35.137081,1167900,1045170,684047,281962,27904,3495,2374,3228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E+01,1.18E+03,8.31E+02,1.43E+00,4.30E+01,1.30E-05,12.0867404,63.43724342,24.47601618,,,,2.52E+04,3.43E+03,5.76E+03,7.89E+02,2.95E+00,5.49E-01,2.86E+02
