# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,Co,Fe,Zr,,,,# Fe_alpha,Fe_beta,Co_alpha,Co_beta,# peak_position, peak_width, peak_intensity
68,17.998,-30.0003,30,3673944,4443127,0,14275081,107439,0,0,0,35.129101,722790,672030,117289,405731,59392,5101,1407,3408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E+01,9.60E+02,6.81E+02,1.41E+00,2.30E+01,1.44E-05,34.14794682,13.08781085,52.76424233,,,,3.80E+03,5.17E+02,1.43E+04,1.95E+03,2.65E+00,6.61E-01,2.54E+02
80,-21.001,-27.0001,30,3714185,4513359,0,14457979,108192,0,0,0,34.901556,1009350,916680,283020,509638,69673,3170,1941,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40E+01,1.04E+03,7.28E+02,1.43E+00,2.40E+01,1.44E-05,38.97634678,31.01557129,30.00808194,,,,9.82E+03,1.34E+03,1.68E+04,2.30E+03,3.01E+00,5.50E-01,2.15E+02
81,-17.998,-27.0001,30,3700531,4490624,0,13939352,107598,0,0,0,35.178632,988350,898440,266484,508706,73257,3273,1867,2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E+01,1.04E+03,7.26E+02,1.43E+00,2.50E+01,1.43E-05,39.25732122,29.22954464,31.51313414,,,,9.25E+03,1.26E+03,1.68E+04,2.30E+03,3.00E+00,5.78E-01,2.12E+02
82,-15,-27.0001,30,3686371,4475432,0,13904735,106982,0,0,0,35.100971,965880,879930,250790,506119,70109,3446,1805,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60E+01,1.03E+03,7.20E+02,1.42E+00,2.60E+01,1.43E-05,39.45100677,27.51686715,33.03212607,,,,8.66E+03,1.18E+03,1.69E+04,2.31E+03,2.98E+00,6.15E-01,2.03E+02
83,-12.002,-27.0001,30,3672973,4467018,0,13800767,107999,0,0,0,35.158967,941880,859470,234409,499787,70085,3650,1795,2984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E+01,1.01E+03,7.15E+02,1.42E+00,2.70E+01,1.43E-05,39.55945009,25.87636766,34.56418226,,,,8.03E+03,1.09E+03,1.68E+04,2.30E+03,2.95E+00,6.62E-01,1.93E+02
84,-8.999,-27.0001,30,3656447,4449171,0,13076921,108072,0,0,0,35.012882,925380,844980,217915,494374,69377,3737,1806,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80E+01,1.02E+03,7.12E+02,1.43E+00,2.80E+01,1.44E-05,39.5841312,24.30691753,36.10895127,,,,7.44E+03,1.01E+03,1.67E+04,2.29E+03,2.93E+00,7.35E-01,1.83E+02
85,-6.001,-27.0001,30,3660429,4454984,0,14070518,107472,0,0,0,35.176029,901350,825780,204498,490710,69809,3823,1720,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90E+01,1.01E+03,7.09E+02,1.42E+00,2.90E+01,1.44E-05,39.52785149,22.81414636,37.65800215,,,,6.94E+03,9.43E+02,1.67E+04,2.28E+03,2.90E+00,7.80E-01,1.77E+02
86,-2.99801,-27.0001,30,3656128,4444974,0,14057580,109103,0,0,0,35.031271,883440,810450,191174,483641,69007,4073,1615,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E+01,1.00E+03,7.05E+02,1.42E+00,3.00E+01,1.44E-05,39.39352339,21.39306012,39.2134165,,,,6.44E+03,8.76E+02,1.65E+04,2.26E+03,2.86E+00,8.20E-01,1.77E+02
87,0,-27.0001,30,3649087,4436465,0,14014298,108917,0,0,0,35.027277,862230,791790,177786,475267,68273,4156,1609,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E+01,9.95E+02,7.00E+02,1.42E+00,3.10E+01,1.44E-05,39.18487765,20.04771055,40.7674118,,,,5.96E+03,8.10E+02,1.63E+04,2.24E+03,2.83E+00,8.26E-01,1.79E+02
88,2.99801,-27.0001,30,3691008,4455864,0,14071532,108383,0,0,0,35.03741,846090,778440,167847,469988,67544,4290,1619,3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E+01,1.00E+03,7.01E+02,1.43E+00,3.20E+01,1.44E-05,38.90561026,18.77458385,42.3198059,,,,5.57E+03,7.58E+02,1.62E+04,2.22E+03,2.80E+00,8.11E-01,1.84E+02
