# peak_position, peak_width, peak_intensity
3.040637468542795929e+00,7.772217685551566224e-02,1.657506522870388380e+03
3.039689915265549214e+00,1.837999358509794234e-01,7.461635123947511374e+02
3.027597200965018942e+00,4.233356017355091039e-01,4.224749531037829797e+02
3.024905347268993516e+00,4.567343243830461752e-01,3.799930509594763635e+02
3.020430833989278252e+00,4.729434680300548255e-01,3.528492065185378692e+02
3.014629815655867073e+00,4.862507769606930763e-01,3.252718105203231289e+02
3.007158645496459393e+00,5.007624828613216339e-01,3.001013823970284307e+02
2.996958190940231859e+00,5.185660707094880140e-01,2.799670041152867839e+02
2.984267004141127444e+00,5.399638079114992273e-01,2.534819245854656913e+02
2.970181079535986868e+00,5.687826484407340066e-01,2.333224027220430798e+02
2.951007131034896425e+00,6.166243114769797140e-01,2.134013120709065845e+02
2.926747892605699342e+00,6.885203338772714066e-01,1.932155847746431618e+02
2.892117948764154178e+00,7.907446721254125510e-01,1.759495980538619335e+02
2.857108547043680780e+00,8.319578496893856867e-01,1.631874526389251798e+02
2.824310366879411838e+00,8.392404287553062447e-01,1.580773882548560039e+02
2.790285800684264128e+00,8.450959878542805281e-01,1.594245043062144873e+02
2.762075200383737883e+00,8.267409446123398231e-01,1.596050517769029966e+02
2.736017895145658407e+00,7.899837578921630188e-01,1.553917624239565498e+02
2.703733972637883287e+00,7.801430586986572990e-01,1.579538851093986978e+02
3.399999999999851585e+00,5.953016425776627152e-01,6.782325992949850502e+01
3.040074632403598542e+00,5.961628239532615336e-02,3.591133043877785894e+03
3.040380493330543388e+00,6.262788015910795980e-02,3.179650705189813834e+03
3.040572848924572025e+00,6.596617093818081534e-02,2.772913583614484196e+03
3.041445266701362726e+00,6.946721140256274796e-02,2.353153873619015030e+03
3.042773600312110638e+00,7.405495361630434759e-02,1.929628281577679445e+03
3.045091667305518612e+00,9.097557949910013708e-02,1.346477055374381962e+03
3.036890574692382661e+00,3.165816285405065322e-01,5.060633803792516119e+02
3.032015424531068426e+00,4.416089744475803491e-01,3.956995491683185264e+02
3.028686841832773258e+00,4.610387889137950168e-01,3.642226854829527269e+02
3.025061788683073516e+00,4.729291183545191180e-01,3.340480297636590308e+02
3.019311669452527269e+00,4.909264030529011391e-01,3.116116152879727679e+02
3.011338046262686419e+00,5.061875782121647571e-01,2.903864119814080027e+02
3.000605745336470509e+00,5.227618047747779606e-01,2.681503526616183422e+02
2.989131781721857006e+00,5.464776406888920413e-01,2.451500074756104368e+02
2.975311264345709361e+00,5.813002654371978162e-01,2.275686365475985156e+02
2.956898393247043177e+00,6.256823398395232605e-01,2.069179379738903890e+02
2.931607886321619727e+00,7.153089701133946710e-01,1.863124292904909964e+02
2.899450732512283135e+00,8.150397513988435483e-01,1.651481185686920981e+02
2.863571392312960651e+00,8.676399073118198357e-01,1.529783144567071531e+02
2.827129388477853222e+00,8.926320632579819447e-01,1.485921558509207614e+02
2.798211449924413063e+00,8.689338639879055082e-01,1.457330460554408376e+02
